City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Winds
dingle,11.0,122.67,72.47,95,48,2.57
rawicz,51.61,16.87,60.8,87,0,6.93
cidreira,-30.17,-50.22,69.41,76,24,5.7
allentown,40.6,-75.47,86.41,45,40,3.74
santiago,-33.44,-70.65,59.0,51,75,4.7
hermanus,-34.42,19.24,44.66,89,24,2.35
honiara,-9.43,159.96,82.4,78,20,3.24
pemberton,-34.44,116.03,52.16,90,92,6.87
hasaki,35.73,140.83,77.94,78,20,5.82
longyearbyen,78.22,15.63,46.4,70,75,26.4
port alfred,-33.59,26.89,69.32,73,32,13.87
hobyo,5.35,48.53,74.18,86,20,17.11
faya,18.39,42.45,68.0,64,5,9.17
salalah,17.01,54.1,75.2,100,90,3.36
iqaluit,63.75,-68.52,48.2,57,75,18.34
mataura,-46.19,168.86,37.64,89,32,2.68
kem,2.68,33.77,63.05,96,56,2.28
yingcheng,30.93,113.57,80.6,83,0,8.95
naze,5.43,7.07,72.2,97,92,3.69
new norfolk,-42.78,147.06,46.4,87,75,2.24
havre-saint-pierre,50.23,-63.6,66.2,59,75,9.17
punta arenas,-53.16,-70.91,41.0,75,40,14.99
zhezkazgan,47.8,67.71,53.6,62,40,2.24
beringovskiy,63.05,179.32,51.23,97,68,16.55
khatanga,71.98,102.47,36.2,64,88,18.12
sampit,-2.54,112.95,76.55,85,12,7.2
yarmouth,50.71,-1.5,52.9,93,0,5.14
codrington,-28.95,153.24,44.21,83,0,3.91
omboue,-1.57,9.26,76.07,100,92,11.41
waipawa,-39.94,176.59,50.6,97,88,9.95
den helder,52.96,4.76,56.7,93,90,1.12
arraial do cabo,-22.97,-42.02,74.21,65,0,21.92
thayetmyo,19.32,95.18,73.58,97,92,6.98
la tuque,47.44,-72.79,53.42,74,0,4.07
yar-sale,66.83,70.83,43.04,100,0,12.19
callaway,46.98,-95.91,73.92,53,1,23.04
yarega,63.43,53.58,37.31,85,0,4.52
norman wells,65.28,-126.83,59.0,54,75,14.99
cherskiy,68.75,161.3,47.18,72,8,4.59
vao,59.1,26.19,58.19,98,64,2.73
yellowknife,62.45,-114.38,55.4,62,75,6.93
castro,-42.48,-73.76,50.96,64,0,3.47
atar,20.52,-13.05,82.82,83,48,2.68
vila franca do campo,37.72,-25.43,75.2,83,20,9.17
namwala,-15.75,26.45,58.37,58,0,8.32
koshurnikovo,54.3,93.39,45.32,86,12,2.17
atuona,-9.8,-139.03,79.67,99,0,19.01
bredasdorp,-34.53,20.04,62.6,88,32,2.24
georgetown,6.8,-58.16,87.8,58,20,11.41
gelendzhik,44.56,38.08,81.14,89,36,4.29
hambantota,6.12,81.12,79.94,99,76,16.67
sibu,2.29,111.83,75.2,94,75,4.7
labuhan,-2.54,115.51,76.82,83,32,2.73
lagoa,37.14,-8.45,75.2,69,0,6.93
kavaratti,10.57,72.64,80.84,100,32,14.2
san quintin,17.54,120.52,75.2,88,75,2.24
bluff,-23.58,149.07,53.57,88,0,7.38
qasigiannguit,68.82,-51.19,39.2,100,75,6.93
dangriga,16.97,-88.23,87.8,70,20,9.17
kosh-agach,49.99,88.66,26.96,81,0,3.06
ostrovnoy,68.05,39.51,53.3,66,48,16.89
muravlenko,63.79,74.5,39.29,79,0,12.91
clyde river,70.47,-68.59,41.0,75,40,17.22
tucumcari,35.17,-103.73,98.06,17,1,12.75
valdivia,-39.81,-73.25,57.2,58,92,2.24
buchanan,5.88,-10.05,77.0,94,75,5.64
pevek,69.7,170.27,48.11,87,32,7.31
nhulunbuy,-12.18,136.78,73.4,88,0,8.99
gushikawa,26.35,127.87,81.03,88,40,7.43
talnakh,69.49,88.39,35.3,93,0,17.34
surgut,61.25,73.4,46.4,81,40,11.18
avarua,-21.21,-159.78,75.2,78,75,18.34
yatou,3.63,9.81,75.2,100,75,2.24
zalari,53.57,102.52,51.8,86,92,2.84
luanda,-8.83,13.24,68.69,94,20,5.37
vestmannaeyjar,63.44,-20.27,50.42,98,92,30.76
labytnangi,66.66,66.39,35.42,83,0,3.62
tuktoyaktuk,69.44,-133.03,42.8,87,90,9.17
montgomery,32.37,-86.3,85.26,53,40,5.82
guerrero negro,27.97,-114.04,86.06,53,0,9.28
arroio grande,-32.24,-53.09,57.56,98,92,15.82
merauke,-8.49,140.4,80.42,81,68,9.78
pocatello,42.87,-112.44,86.0,2,40,19.46
mount gambier,-37.83,140.78,51.41,95,64,6.49
tartagal,-22.52,-63.8,86.0,48,0,6.93
ketchikan,55.34,-131.65,61.32,69,90,17.22
cabo san lucas,22.89,-109.91,86.11,70,40,8.05
sokode,8.98,1.13,69.26,97,88,2.28
aswan,24.09,32.9,84.35,39,0,9.4
bedesa,8.9,40.78,57.38,86,44,4.63
port hedland,-20.31,118.58,51.8,71,0,6.93
araouane,18.9,-3.53,90.2,29,0,6.6
sydney,-33.85,151.22,49.66,62,0,5.82
tocopilla,-22.09,-70.2,57.11,100,8,5.75
chalmette,29.94,-89.96,83.07,87,75,6.93
suceveni,46.54,27.65,60.8,82,0,2.51
borger,52.92,6.79,50.4,93,12,1.12
tabou,4.42,-7.36,77.96,100,88,10.07
khandyga,62.65,135.58,58.82,89,36,4.29
meulaboh,4.14,96.13,76.7,100,88,4.92
minab,27.15,57.07,87.8,79,20,4.7
sandnessjoen,66.02,12.63,50.0,87,92,5.82
constitucion,23.99,-104.67,75.2,38,75,8.05
airai,-8.93,125.41,66.53,96,56,1.68
taltal,-25.41,-70.49,50.54,87,32,1.83
kargasok,59.06,80.87,56.36,84,92,2.57
borogontsy,62.67,131.17,61.61,84,8,6.42
waddan,29.16,16.14,74.39,59,0,10.78
cordoba,5.59,-73.79,55.94,73,76,0.94
klaksvik,62.23,-6.59,50.0,87,88,9.17
muisne,0.61,-80.02,75.65,74,44,8.32
fort nelson,58.81,-122.69,55.4,62,75,5.82
tezu,27.93,96.16,67.28,96,8,1.61
katsuura,33.93,134.5,78.8,94,20,3.36
nyurba,63.29,118.35,55.28,89,32,5.7
coahuayana,18.62,-100.35,75.29,83,12,1.95
nampula,-15.12,39.26,66.2,82,0,8.05
necochea,-38.55,-58.74,48.53,61,80,13.98
aklavik,68.22,-135.01,52.23,81,90,6.93
limon,39.26,-103.69,87.98,2,1,9.17
laguna,27.52,-110.01,96.8,39,20,3.74
ilulissat,69.22,-51.1,39.2,95,75,6.93
kodinsk,58.6,99.18,50.18,92,0,3.29
ereymentau,51.62,73.1,43.7,89,20,4.63
jamestown,-33.21,138.6,47.09,99,92,15.66
roald,62.58,6.12,45.25,100,88,4.7
bethel,60.79,-161.76,51.08,92,90,21.92
linhares,-19.38,-40.06,64.94,92,0,5.19
pisco,-13.71,-76.2,71.6,30,0,17.22
san matias,13.97,-86.63,64.4,82,75,4.7
kendari,-3.99,122.52,78.8,79,48,2.73
moree,-29.46,149.84,60.26,73,12,23.64
salinas,36.67,-121.66,71.11,59,1,11.41
teya,21.05,-89.07,82.4,74,75,11.41
kodiak,39.95,-94.76,78.98,74,1,14.99
cayenne,4.94,-52.33,82.4,74,0,4.7
isangel,-19.55,169.27,72.56,100,0,15.43
macamic,48.75,-79.0,59.0,58,40,4.7
provideniya,64.42,-173.23,50.0,71,75,2.24
vanino,53.93,40.55,69.86,46,44,12.97
auki,12.18,6.51,71.12,94,64,6.38
port lincoln,-34.72,135.86,53.3,100,92,24.27
dong hoi,17.48,106.6,82.49,92,24,20.07
bose,45.46,8.01,61.36,69,75,1.12
lac du bonnet,50.25,-96.06,75.74,60,8,23.42
viedma,-40.81,-62.99,39.38,69,12,6.2
port elizabeth,39.31,-74.98,90.05,58,20,6.93
fereydun kenar,36.69,52.52,68.09,92,0,4.41
ixtapa,20.71,-105.21,89.6,66,20,9.17
chokurdakh,70.62,147.9,51.59,61,0,12.86
awjilah,29.14,21.3,77.18,50,44,0.72
villa san giovanni,45.52,9.23,72.48,60,40,8.05
anadyr,64.73,177.51,50.0,81,0,8.95
ankpa,7.37,7.63,70.61,99,64,3.51
cowansville,45.21,-72.74,65.77,59,40,5.82
kiama,-34.67,150.86,41.0,93,0,1.12
launceston,-41.43,147.14,48.2,87,90,11.41
kutum,14.2,24.66,83.27,24,100,8.72
sur,22.57,59.53,82.28,92,0,10.63
mersing,2.43,103.84,77.45,97,0,4.97
fukue,35.03,136.69,84.2,70,40,8.05
touros,-5.2,-35.46,78.68,71,12,19.24
alta floresta,-9.87,-56.08,95.6,23,0,2.35
miles city,46.41,-105.84,91.04,15,1,16.11
kirovskaya,46.97,40.04,73.58,53,44,7.65
coihaique,-45.58,-72.07,42.6,52,0,4.7
najran,17.54,44.22,84.2,20,0,4.7
torbay,47.66,-52.73,57.2,82,75,21.92
lebu,8.96,38.73,53.12,97,100,2.57
fairbanks,64.84,-147.72,50.23,90,90,18.34
chabahar,25.29,60.65,82.04,100,88,5.97
buin,-33.73,-70.74,59.0,51,75,4.7
victoria,5.28,115.24,80.6,88,75,3.36
grindavik,63.84,-22.43,50.0,93,75,29.97
lasa,34.92,32.53,76.42,78,20,4.7
abha,18.22,42.5,68.0,64,5,1.57
broome,52.47,1.45,53.28,93,68,6.04
gigmoto,13.78,124.39,82.31,100,80,9.66
winnemucca,40.97,-117.74,87.08,3,1,19.46
mahon,51.89,-8.4,53.6,93,75,8.05
praia da vitoria,38.73,-27.07,77.0,78,20,11.74
gat,14.69,-16.54,78.8,94,75,13.47
nanortalik,60.14,-45.24,41.06,95,0,44.96
sitka,37.17,-99.65,100.73,29,0,22.03
swan river,52.11,-101.27,72.02,57,0,16.55
skeldon,5.88,-57.13,82.04,99,12,10.45
aksu,52.04,76.93,46.4,93,0,2.24
bloomington,40.47,-88.99,78.42,60,75,4.63
gorin,40.36,-92.02,77.38,73,75,6.93
fortuna,38.18,-1.13,79.7,78,40,9.17
siderno,38.28,16.3,75.18,83,20,3.36
toora-khem,52.47,96.11,49.1,98,92,2.73
xushan,30.18,121.25,80.6,78,0,8.95
banyo,6.75,11.81,63.41,99,80,2.73
comodoro rivadavia,-45.87,-67.48,44.6,100,0,3.36
rio grande,-32.03,-52.1,64.4,93,90,3.36
sebezh,56.29,28.48,51.62,88,24,2.84
bonavista,48.65,-53.11,60.08,96,100,18.28
richards bay,-28.77,32.06,63.92,75,0,8.72
bahia honda,22.9,-83.16,79.88,89,80,4.63
saldanha,41.42,-6.55,64.19,74,0,2.68
boddam,57.47,-1.78,44.6,87,0,2.24
petropavlovsk-kamchatskiy,53.05,158.65,46.4,81,0,4.47
damghan,36.17,54.34,63.23,60,0,2.39
jiexiu,37.02,111.92,66.83,82,76,6.42
guabito,9.5,-82.61,77.0,88,0,3.36
bathsheba,13.22,-59.52,82.4,83,75,18.34
uva,56.98,52.19,54.05,80,12,5.97
chuy,-33.69,-53.46,56.36,96,92,18.9
westport,53.8,-9.52,54.92,85,8,8.16
husavik,50.56,-96.99,79.22,53,20,24.05
rozzano,45.38,9.15,72.72,60,40,8.05
celestun,20.87,-90.4,83.9,100,0,13.42
nortelandia,-14.45,-56.8,74.93,64,0,4.07
tampere,61.5,23.76,53.87,100,0,2.39
moncton,46.1,-64.8,62.6,77,75,9.17
huarmey,-10.07,-78.15,61.43,71,0,3.85
farafangana,-22.82,47.83,71.15,100,100,6.76
inza,53.86,46.36,65.93,44,88,3.29
road town,18.42,-64.62,77.81,88,75,16.11
dumas,21.09,72.71,79.34,100,92,20.29
ancud,-41.87,-73.83,40.28,78,0,5.41
mahabad,36.77,45.72,54.5,75,0,1.95
olga,34.11,-118.17,87.28,2,1,10.29
yugorsk,61.32,63.33,38.12,93,0,4.29
ulladulla,-35.36,150.48,41.0,93,0,1.12
darhan,49.49,105.92,58.01,98,92,3.74
srednekolymsk,67.46,153.71,57.56,56,36,3.4
pauini,-7.71,-67.0,82.67,70,24,3.85
beisfjord,68.38,17.6,51.8,81,92,32.21
buzmeyin,38.05,58.21,69.8,30,0,4.7
saint george,39.45,22.34,69.8,77,0,4.7
tilichiki,60.47,166.1,58.01,66,8,7.99
kruisfontein,-34.0,24.73,60.05,86,0,2.35
sao joao da barra,-21.64,-41.05,71.6,83,0,6.93
carahue,-38.71,-73.16,49.82,93,92,6.42
tuatapere,-46.13,167.69,43.4,100,0,5.48
tiangua,-3.73,-40.99,80.24,41,48,4.63
narsaq,60.91,-46.05,44.6,48,0,23.04
hami,42.84,93.51,61.67,66,0,5.37
mokokchung,26.32,94.52,69.89,96,92,1.61
oriximina,-1.77,-55.87,83.12,61,0,4.63
longido,-2.73,36.7,51.08,100,0,3.62
malindi,-3.22,40.12,77.0,83,40,9.17
lala,7.97,123.75,77.63,89,56,2.39
leningradskiy,69.38,178.42,41.6,88,8,16.22
kirakira,-10.46,161.92,81.11,100,64,17.0
mount isa,-20.73,139.49,71.6,64,0,5.82
duma,33.57,36.4,75.2,64,0,13.87
vanimo,-2.67,141.3,78.14,100,64,5.93
bonthe,7.53,-12.5,74.84,100,92,2.95
geraldton,49.72,-86.95,66.2,55,40,14.99
saint-denis,48.94,2.36,60.78,77,0,4.7
sines,37.96,-8.87,67.37,91,0,11.68
tessalit,20.2,1.01,83.99,28,0,3.36
sao gabriel da cachoeira,-0.13,-67.09,74.93,93,76,2.73
todos santos,23.45,-110.23,88.43,70,40,8.05
okotoks,50.72,-113.98,67.08,22,75,8.05
manado,1.49,124.85,71.6,94,20,2.24
cortez,37.35,-108.58,86.0,15,1,11.41
honningsvag,70.98,25.97,50.99,87,75,8.05
nazca,-14.83,-74.94,62.42,68,12,2.39
grojec,50.09,19.57,64.22,82,75,5.82
turan,52.15,93.92,43.79,91,36,2.39
west monroe,32.52,-92.15,92.52,52,1,3.06
lompoc,34.64,-120.46,75.87,32,1,13.87
kota belud,6.35,116.43,77.0,69,75,5.82
kavieng,-2.57,150.8,81.2,100,76,7.38
ardakan,32.31,54.02,84.2,13,0,4.7
beitbridge,-22.21,29.99,51.8,85,0,4.74
broken hill,-31.97,141.45,50.6,96,48,12.64
mareeba,-16.99,145.42,68.0,72,20,4.7
peniche,39.36,-9.38,63.52,93,0,3.36
voi,-3.4,38.57,62.96,86,48,5.97
egvekinot,66.32,-179.17,56.12,64,12,4.29
alexandria,31.31,-92.44,92.17,50,40,6.93
shahpura,25.63,74.93,75.02,94,92,8.43
usinsk,66.0,57.56,40.91,92,0,5.41
feuchtwangen,49.17,10.33,57.33,74,75,3.18
portland,45.52,-122.67,72.75,51,75,4.7
ljungby,56.83,13.94,57.2,100,100,4.7
shelburne,44.08,-80.2,66.15,60,75,8.05
awbari,26.59,12.77,83.39,32,0,11.45
montrose,-37.81,145.34,52.72,62,75,18.34
hovd,63.83,10.7,51.8,81,75,9.17
khor,47.88,134.96,60.71,88,20,11.68
deputatskiy,69.3,139.9,49.61,83,0,7.38
cockburn town,21.46,-71.14,81.56,100,44,19.69
preobrazheniye,42.9,133.91,63.41,98,92,1.72
kokologo,12.19,-1.88,73.4,94,20,26.4
verkhoyansk,67.55,133.39,48.62,80,32,6.26
rio gallegos,-51.62,-69.22,41.0,65,40,9.17
los llanos de aridane,28.66,-17.92,73.4,69,8,16.11
kaitangata,-46.28,169.85,39.98,75,24,4.36
sorland,67.67,12.69,52.76,100,76,20.24
trinidad,-33.52,-56.9,50.27,95,92,20.62
grand gaube,-20.01,57.66,69.8,68,40,13.87
zyryanka,65.73,150.89,57.74,56,12,4.97
tarko-sale,64.92,77.78,40.01,75,68,13.47
karratha,-20.74,116.85,53.48,51,0,9.95
lazaro cardenas,28.39,-105.62,87.8,31,40,11.41
mandi bahauddin,32.58,73.49,80.78,83,0,7.54
pedana,16.26,81.15,76.55,95,44,9.22
nehe,48.48,124.88,65.21,86,0,7.43
ville-marie,47.33,-79.44,60.8,59,1,4.7
saskylakh,71.97,114.09,41.42,92,68,13.76
ilo,-17.65,-71.34,57.02,100,8,2.62
la sarre,48.8,-79.2,56.21,80,0,3.85
agadir,30.42,-9.58,68.0,82,0,2.24
sabang,13.72,123.58,80.96,95,92,6.98
te anau,-45.41,167.72,40.16,94,56,2.35
kovdor,67.56,30.47,54.86,100,92,3.4
sulangan,11.14,123.72,80.33,100,64,11.01
atyrau,47.1,51.92,73.4,38,0,8.95
kaohsiung,22.62,120.31,73.51,100,75,1.12
lata,30.78,78.62,58.07,100,88,1.68
oksfjord,70.24,22.35,48.2,87,0,9.17
floro,61.6,5.03,48.2,93,0,4.7
palampur,32.11,76.54,40.01,86,32,1.28
diapaga,12.07,1.79,71.96,97,24,6.76
tiksi,71.64,128.87,56.99,70,88,14.99
phu ly,20.54,105.91,78.35,96,92,2.28
barguzin,53.62,109.63,54.86,98,92,2.51
erenhot,43.65,111.97,59.54,52,64,8.99
mizan teferi,6.99,35.58,58.46,100,36,1.61
jasper,33.83,-87.28,89.8,47,1,3.62
karimpur,23.98,88.63,78.71,98,92,5.97
notse,6.95,1.17,71.06,95,88,3.85
teguise,29.06,-13.56,73.4,69,75,17.22
vilhena,-12.74,-60.15,86.0,48,40,9.17
mayor pablo lagerenza,-19.93,-60.77,89.51,35,8,14.92
banatski karlovac,45.05,21.02,71.74,77,0,1.12
manggar,-2.88,108.27,81.05,85,0,9.33
tucuman,-17.17,-70.89,56.21,71,0,1.61
mackay,53.65,-115.58,50.97,81,90,20.8
gurupi,-11.73,-49.07,76.82,38,0,7.65
sobolevo,54.43,31.9,50.54,85,0,2.62
ponta do sol,-20.63,-46.0,73.91,42,56,4.14
north bend,43.41,-124.22,57.06,83,90,11.41
camopi,3.17,-52.33,84.38,54,36,3.96
port macquarie,-31.43,152.91,57.2,58,32,10.29
moyale,3.52,39.05,69.35,63,88,10.22
skibbereen,51.55,-9.27,53.6,93,75,8.05
mahanoro,-19.9,48.8,66.56,89,80,1.83
shreveport,32.52,-93.77,94.19,41,1,4.7
port hardy,50.7,-127.42,57.2,87,20,5.82
bubaque,11.28,-15.83,75.2,94,40,8.05
kathu,-27.7,23.05,56.75,29,68,11.68
puerto carreno,6.19,-67.49,84.2,70,40,4.7
cape canaveral,28.41,-80.6,85.15,78,20,5.82
channel-port aux basques,47.57,-59.14,63.59,100,56,22.86
sola,62.78,29.36,59.0,93,90,3.36
doka,13.52,35.76,73.04,89,92,10.56
tigil,57.8,158.67,46.01,70,0,4.7
maragogi,-9.01,-35.22,72.32,95,92,10.56
hay river,60.82,-115.79,55.4,66,75,5.82
aquiraz,-3.9,-38.39,78.8,78,40,13.87
russell,-33.01,-68.8,55.4,62,90,13.87
walvis bay,-22.95,14.51,51.53,100,80,3.62
puerto baquerizo moreno,-0.9,-89.6,73.4,64,75,17.22
pochutla,15.74,-96.47,87.8,66,75,9.17
potiskum,11.71,11.08,71.96,93,56,3.62
jonkoping,57.78,14.16,57.2,100,75,6.93
anupgarh,29.19,73.21,86.0,61,0,10.22
adrar,27.87,-0.29,93.2,18,0,13.87
mokhotlong,-29.29,29.06,25.61,71,0,2.62
carauari,-4.88,-66.9,79.79,84,12,2.39
ust-nera,64.57,143.24,55.49,57,0,2.62
rockhampton,-23.38,150.51,64.4,77,0,8.21
la ronge,55.1,-105.3,57.2,93,90,11.41
sefton,53.5,-2.97,55.26,67,0,6.93
almeirim,39.21,-8.63,68.02,72,0,16.11
sabha,27.03,14.43,81.5,31,0,11.01
clarence town,-32.59,151.78,51.8,71,0,6.93
dunedin,-45.87,170.5,47.66,88,44,4.07
quatre cocos,-20.21,57.76,69.8,68,40,5.82
defiance,41.28,-84.36,75.29,57,40,3.36
reporoa,-38.44,176.35,55.22,70,0,4.74
san buenaventura,27.06,-101.55,91.49,36,12,8.43
vilcun,-38.65,-72.23,42.44,62,92,5.97
palana,59.08,159.95,52.79,71,0,3.4
baykit,61.68,96.39,49.28,90,80,3.74
kovur,14.5,79.99,76.19,86,76,6.64
shingu,33.72,135.99,80.39,97,56,14.76
canutama,-6.53,-64.38,83.21,70,48,3.96
samfya,-11.37,29.56,62.15,70,0,11.34
arkansas city,37.06,-97.04,88.16,39,20,16.11
leshukonskoye,64.9,45.76,49.82,66,0,6.76
katangli,51.71,143.23,52.34,98,92,20.07
santiago del estero,-27.8,-64.26,71.78,53,0,16.71
neryungri,56.66,124.71,58.91,76,0,4.41
never,53.98,124.16,62.42,75,0,3.29
mae hong son,19.3,97.96,68.09,98,92,2.28
vanavara,60.35,102.28,51.71,89,0,4.63
pangody,65.85,74.49,38.27,82,12,10.4
polunochnoye,60.87,60.43,39.56,84,0,4.97
snasa,64.25,12.38,44.87,97,88,2.95
parana,-7.52,-72.89,87.8,55,20,4.7
beroroha,-21.68,45.17,68.72,64,0,10.0
kondinskoye,59.65,67.41,46.67,76,0,7.65
juba,57.82,26.93,59.0,87,75,5.82
norden,53.59,7.21,51.08,93,92,1.12
lubu,23.17,112.28,73.94,100,92,3.29
cortes,9.28,126.19,71.51,100,92,3.85
sao filipe,14.9,-24.5,78.08,100,76,13.58
neka,36.65,53.3,65.66,99,0,3.4
nuuk,64.17,-51.74,37.4,100,75,16.11
oktyabrskoye,56.73,85.44,54.86,88,92,2.39
maues,-3.38,-57.72,77.54,90,20,2.39
anaconda,46.13,-112.94,73.04,23,20,12.75
gazanjyk,39.24,55.52,69.44,35,0,13.24
aurangabad,19.87,75.33,71.78,95,76,9.44
churapcha,62.0,132.43,61.25,82,20,6.42
baherden,38.44,57.43,58.37,58,0,2.95
sumbe,-11.2,13.84,65.57,100,36,5.97
kulhudhuffushi,6.62,73.07,80.42,100,64,11.01
zyryanovsk,49.74,84.27,49.46,100,92,2.39
ainring,47.81,12.95,59.0,93,75,4.7
dinguiraye,11.29,-10.71,68.81,92,8,4.41
lishu,43.31,124.32,65.48,100,64,4.52
puerto colombia,10.99,-74.96,82.4,83,75,6.93
saint-louis,47.59,7.56,59.88,82,75,6.93
sambava,-14.27,50.17,71.69,100,80,18.39
mandan,46.83,-100.89,86.59,100,0,14.99
houston,29.76,-95.37,91.09,44,1,3.36
ainazi,57.86,24.36,48.92,79,32,3.18
mubi,10.27,13.26,69.98,95,36,3.18
nioro,13.79,-15.05,72.86,99,88,12.8
batagay,67.65,134.64,50.24,76,12,10.74
vigrestad,58.57,5.7,55.4,82,0,9.17
henties bay,-22.12,14.28,51.08,100,36,4.07
antofagasta,-23.65,-70.4,57.2,67,75,14.99
myitkyina,25.38,97.4,75.02,98,80,2.51
lalmohan,22.34,90.74,79.52,100,88,8.99
grand-santi,4.27,-54.38,81.59,64,0,2.39
molchanovo,57.58,83.76,53.33,90,56,2.95
kysyl-syr,63.9,122.77,56.81,94,32,8.28
kloulklubed,7.04,134.26,78.8,83,75,5.82
namatanai,-3.66,152.44,76.88,100,88,6.15
soure,40.06,-8.63,60.8,93,0,3.36
belmonte,40.36,-7.35,61.7,81,0,3.62
mikhaylovka,52.96,103.29,53.42,90,64,2.39
khasan,42.43,130.64,66.35,100,0,10.85
roma,41.89,12.48,71.62,88,20,3.36
sassandra,4.95,-6.09,75.02,94,64,6.53
kupang,-10.16,123.6,68.0,94,20,4.7
mocuba,-16.84,36.99,59.99,90,0,2.73
bilma,18.69,12.92,84.08,39,56,4.59
marovoay,-16.11,46.64,73.4,83,20,13.87
innisfail,52.02,-113.95,64.4,48,90,6.93
burlington,43.32,-79.8,66.2,68,75,10.29
totness,33.74,-80.8,93.15,38,1,4.7
komsomolskiy,67.55,63.78,38.3,84,80,5.86
gari,59.43,62.35,41.27,92,0,3.62
bay roberts,47.58,-53.28,57.2,87,90,26.4
san lawrenz,36.06,14.2,73.4,83,0,2.24
avon lake,41.51,-82.02,72.23,59,20,12.75
mayo,63.59,-135.9,46.4,81,90,3.58
camargo,27.69,-105.17,92.36,24,32,6.38
kuznechikha,63.45,41.73,57.74,74,20,7.54
riyadh,24.63,46.72,87.8,14,0,4.7
kumylzhenskaya,49.88,42.59,72.68,30,48,9.55
sistranda,63.73,8.83,51.8,87,75,8.05
talara,-4.58,-81.27,62.6,290,0,18.34
severomorsk,69.07,33.42,53.6,87,75,4.47
padang,-0.92,100.36,76.97,100,56,5.93
esperance,10.24,-61.45,84.2,79,20,6.93
amapa,15.09,-87.97,71.6,100,20,17.22
ambilobe,-13.19,49.05,67.46,85,8,8.88
tuni,-16.67,-68.14,53.6,20,40,10.29
abrau-dyurso,44.7,37.6,71.6,83,24,4.47
oxapampa,-10.58,-75.4,53.24,95,80,1.16
eureka,40.8,-124.16,60.82,86,90,5.82
susanville,40.42,-120.65,80.6,22,1,14.99
pustoshka,56.34,29.37,52.88,91,24,4.18
maldonado,-34.91,-54.96,51.8,87,90,21.92
porto walter,-8.27,-72.74,86.27,60,8,1.95
tomatlan,19.93,-105.25,84.89,71,24,3.91
